File Name,Type,PSNR,SSIM
TsubasaNoKioku_003,B/W,13.7373,0.8852
TsubasaNoKioku_059,B/W,13.0139,0.8726
TsubasaNoKioku_062,B/W,14.3241,0.8866
TsubasaNoKioku_025,B/W,13.9964,0.8782
TsubasaNoKioku_000_hybrid_color_B,B/W,24.8430,0.8208
TsubasaNoKioku_058,B/W,14.1737,0.8806
TsubasaNoKioku_065,B/W,13.4966,0.8973
TsubasaNoKioku_089,B/W,14.3237,0.8984
TsubasaNoKioku_096_color_G,B/W,24.9678,0.9481
TsubasaNoKioku_016,B/W,13.6577,0.8714
TsubasaNoKioku_046,B/W,14.5449,0.8955
TsubasaNoKioku_050,B/W,14.1320,0.8925
TsubasaNoKioku_091,B/W,15.0053,0.9135
TsubasaNoKioku_029,B/W,13.2768,0.8782
TsubasaNoKioku_037,B/W,14.6042,0.8987
TsubasaNoKioku_061,B/W,14.5636,0.8935
TsubasaNoKioku_038,B/W,14.5425,0.8961
TsubasaNoKioku_020,B/W,13.1253,0.8785
TsubasaNoKioku_068,B/W,14.2389,0.8874
TsubasaNoKioku_094,B/W,15.2703,0.9037
TsubasaNoKioku_088,B/W,14.9065,0.9031
TsubasaNoKioku_000_hybrid_bw,B/W,13.8328,0.8415
TsubasaNoKioku_006,B/W,13.5564,0.8836
TsubasaNoKioku_045,B/W,14.4730,0.8932
TsubasaNoKioku_096_color_R,B/W,25.4115,0.9483
TsubasaNoKioku_001,B/W,15.1197,0.8974
TsubasaNoKioku_073,B/W,14.4205,0.8939
TsubasaNoKioku_021,B/W,13.4633,0.8776
TsubasaNoKioku_060,B/W,13.7898,0.8814
TsubasaNoKioku_014,B/W,13.9576,0.9014
TsubasaNoKioku_075,B/W,14.0578,0.8899
TsubasaNoKioku_070,B/W,14.2362,0.8928
TsubasaNoKioku_079,B/W,14.1733,0.8808
TsubasaNoKioku_013,B/W,13.8407,0.8846
TsubasaNoKioku_055,B/W,14.6859,0.8873
TsubasaNoKioku_024,B/W,13.6229,0.8853
TsubasaNoKioku_002,B/W,14.2152,0.8858
TsubasaNoKioku_034,B/W,14.2940,0.8961
TsubasaNoKioku_071,B/W,13.4535,0.8761
TsubasaNoKioku_081,B/W,14.2121,0.8900
TsubasaNoKioku_077,B/W,14.3264,0.8871
TsubasaNoKioku_039,B/W,14.5350,0.8848
TsubasaNoKioku_048,B/W,14.8143,0.9039
TsubasaNoKioku_000_hybrid_color_R,B/W,22.3372,0.8748
TsubasaNoKioku_011,B/W,14.1156,0.8908
TsubasaNoKioku_030,B/W,14.0880,0.8781
TsubasaNoKioku_063,B/W,14.8561,0.8895
TsubasaNoKioku_036,B/W,13.9287,0.8898
TsubasaNoKioku_095,B/W,14.0570,0.8822
TsubasaNoKioku_018,B/W,13.7767,0.8900
TsubasaNoKioku_043,B/W,14.1753,0.8813
TsubasaNoKioku_040,B/W,14.7677,0.9027
TsubasaNoKioku_004,B/W,13.5012,0.8754
TsubasaNoKioku_076,B/W,14.1176,0.8992
TsubasaNoKioku_012,B/W,13.2335,0.8824
TsubasaNoKioku_022,B/W,13.1890,0.8766
TsubasaNoKioku_092,B/W,13.2994,0.8724
TsubasaNoKioku_093,B/W,13.6667,0.8848
TsubasaNoKioku_074,B/W,14.0748,0.8946
TsubasaNoKioku_035,B/W,15.0834,0.9015
TsubasaNoKioku_026,B/W,13.2440,0.8806
TsubasaNoKioku_017,B/W,13.6624,0.8938
TsubasaNoKioku_031,B/W,13.8861,0.8940
TsubasaNoKioku_000_hybrid_color_G,B/W,23.8968,0.8597
TsubasaNoKioku_090,B/W,14.0024,0.8738
TsubasaNoKioku_044,B/W,14.2172,0.8761
TsubasaNoKioku_067,B/W,13.7656,0.8824
TsubasaNoKioku_066,B/W,14.3904,0.8961
TsubasaNoKioku_057,B/W,13.6741,0.8762
TsubasaNoKioku_051,B/W,14.6394,0.8939
TsubasaNoKioku_032,B/W,13.6201,0.8839
TsubasaNoKioku_042,B/W,14.0133,0.8831
TsubasaNoKioku_015,B/W,14.7707,0.8863
TsubasaNoKioku_064,B/W,16.4436,0.9442
TsubasaNoKioku_069,B/W,14.0959,0.8848
TsubasaNoKioku_052,B/W,13.7116,0.8812
TsubasaNoKioku_096_color_B,B/W,25.3482,0.9477
TsubasaNoKioku_008,B/W,13.7827,0.8844
TsubasaNoKioku_049,B/W,13.2686,0.8602
TsubasaNoKioku_019,B/W,13.9047,0.8930
TsubasaNoKioku_007,B/W,13.4782,0.8860
TsubasaNoKioku_047,B/W,14.2171,0.8778
TsubasaNoKioku_085,B/W,13.5623,0.8872
TsubasaNoKioku_028,B/W,13.4319,0.8830
TsubasaNoKioku_087,B/W,14.0418,0.8957
MagicianLoad_027,B/W,14.4426,0.9010
MagicianLoad_033,B/W,13.6599,0.8788
MagicianLoad_078,B/W,18.2622,0.9333
MagicianLoad_001_hybrid_color_G,B/W,18.5179,0.8660
MagicianLoad_056,B/W,17.9533,0.9546
MagicianLoad_086,B/W,12.7026,0.8697
MagicianLoad_087_color_G,B/W,20.0964,0.9406
MagicianLoad_053,B/W,13.3374,0.8618
MagicianLoad_010,B/W,14.6495,0.9116
MagicianLoad_080,B/W,15.1372,0.8875
MagicianLoad_083,B/W,14.0370,0.8959
MagicianLoad_054,B/W,14.3846,0.8751
MagicianLoad_005,B/W,16.8275,0.9383
MagicianLoad_082,B/W,15.9265,0.9154
MagicianLoad_009,B/W,14.2141,0.8739
MagicianLoad_023,B/W,13.9084,0.8726
MagicianLoad_001_hybrid_color_B,B/W,19.1182,0.8588
MagicianLoad_041,B/W,14.0257,0.8878
MagicianLoad_072,B/W,13.9252,0.8785
MagicianLoad_084,B/W,13.8117,0.8811
MagicianLoad_003,B/W,14.0019,0.8660
MagicianLoad_059,B/W,15.9380,0.9327
MagicianLoad_062,B/W,14.9755,0.9069
MagicianLoad_025,B/W,12.2919,0.8577
MagicianLoad_058,B/W,15.7790,0.9305
MagicianLoad_065,B/W,13.5846,0.8595
MagicianLoad_016,B/W,12.9543,0.8718
MagicianLoad_046,B/W,13.5836,0.8725
MagicianLoad_050,B/W,15.2523,0.8992
MagicianLoad_001_hybrid_bw,B/W,11.4105,0.7856
MagicianLoad_029,B/W,13.9060,0.8801
MagicianLoad_037,B/W,13.8241,0.8652
MagicianLoad_061,B/W,14.3286,0.8822
MagicianLoad_001_hybrid_color_R,B/W,18.5524,0.8666
MagicianLoad_038,B/W,12.9208,0.8525
MagicianLoad_020,B/W,13.7951,0.8846
MagicianLoad_068,B/W,13.6273,0.8885
MagicianLoad_006,B/W,13.3634,0.8671
MagicianLoad_045,B/W,12.7917,0.8567
MagicianLoad_073,B/W,15.9724,0.8988
MagicianLoad_021,B/W,13.3453,0.8709
MagicianLoad_060,B/W,13.4047,0.8708
MagicianLoad_014,B/W,12.8668,0.8725
MagicianLoad_075,B/W,16.9353,0.9306
MagicianLoad_070,B/W,13.8580,0.8758
MagicianLoad_079,B/W,15.0799,0.8965
MagicianLoad_013,B/W,16.3119,0.9320
MagicianLoad_055,B/W,14.6311,0.8966
MagicianLoad_024,B/W,16.1403,0.9141
MagicianLoad_002,B/W,17.6428,0.9295
MagicianLoad_034,B/W,14.3351,0.8767
MagicianLoad_071,B/W,13.1926,0.8505
MagicianLoad_081,B/W,16.2769,0.9264
MagicianLoad_077,B/W,15.5487,0.8915
MagicianLoad_039,B/W,14.7369,0.8789
MagicianLoad_048,B/W,13.0907,0.8673
